bgrp,IWDP_Pop,BWDP_Pop,IWDP_Pct,BWDP_Pct
170318241234,1355,0,100.0,0.0
170318241235,1022,22,97.8899993896,2.1099998951
170318243001,800,531,60.1100006104,39.8899993896
170318243002,1447,700,67.4000015259,32.5999984741
170318243003,1022,305,77.0199966431,22.9799995422
170318244001,977,1324,42.4599990845,57.5400009155
170318245031,0,780,0.0,100.0
170318245032,1255,100,92.6200027466,7.38000011444
170318245033,542,642,45.7799987793,54.2200012207
170318245034,1730,222,88.6299972534,11.3699998856
170318245035,396,1078,26.8700008392,73.1299972534
170318245051,1672,920,64.5100021362,35.4900016785
170318245052,1667,285,85.4000015259,14.6000003815
170318245053,1834,472,79.5299987793,20.4699993134
170318245061,638,253,71.5999984741,28.3999996185
170318245062,538,421,56.0999984741,43.9000015259
170318245063,1360,515,72.5299987793,27.4699993134
170318245064,989,544,64.5100021362,35.4900016785
170318245065,1427,980,59.2900009155,40.7099990845
170318245071,1438,773,65.0400009155,34.9599990845
170318245072,1701,317,84.2900009155,15.7100000381
170318246011,1037,241,81.1399993896,18.8600006104
170318246012,170,898,15.9200000763,84.0800018311
170318246013,120,623,16.1499996185,83.8499984741
170318246014,961,355,73.0199966431,26.9799995422
170318246021,573,892,39.1100006104,60.8899993896
170318246022,1108,605,64.6800003052,35.3199996948
170318246023,1114,525,67.9700012207,32.0299987793
170318246024,628,76,89.1999969482,10.8000001907
170318246025,897,133,87.0899963379,12.9099998474
170318247011,697,1302,34.8699989319,65.1299972534
170318247012,562,482,53.8300018311,46.1699981689
170318247013,671,233,74.2300033569,25.7700004578
170318247021,1187,177,87.0199966431,12.9799995422
170318247022,603,1172,33.9700012207,66.0299987793
170318247023,1715,738,69.9100036621,30.0900001526
170318248001,1450,311,82.3399963379,17.6599998474
170318248002,1546,580,72.7200012207,27.2800006866
170318248003,158,1896,7.69000005722,92.3099975586
170318248004,1486,345,81.1600036621,18.8400001526
170318249001,992,315,75.9000015259,24.1000003815
170318249002,990,786,55.7400016785,44.2599983215
170318250001,1058,1031,50.6500015259,49.3499984741
170318250002,966,417,69.8499984741,30.1499996185
170318250003,1316,313,80.7900009155,19.2099990845
170318252001,666,6,99.1100006104,0.889999985695
170318252002,1078,256,80.8099975586,19.1900005341
170318253021,596,1368,30.3500003815,69.6500015259
170318253022,991,981,50.25,49.75
170318253023,1944,366,84.1600036621,15.8400001526
170318253031,362,1115,24.5100002289,75.4899978638
170318253032,998,5,99.5,0.5
170318253033,427,247,63.3499984741,36.6500015259
170318253034,275,407,40.3199996948,59.6800003052
170318253041,1499,501,74.9499969482,25.0499992371
170318253042,1472,589,71.4199981689,28.5799999237
170318254001,910,704,56.3800010681,43.6199989319
170318254002,1984,426,82.3199996948,17.6800003052
170318254003,384,1007,27.6100006104,72.3899993896
170318255011,493,316,60.9399986267,39.0600013733
170318255012,1459,1107,56.8600006104,43.1399993896
170318255013,1554,686,69.3799972534,30.6299991608
170318255031,776,92,89.4000015259,10.6000003815
170318255032,745,382,66.0999984741,33.9000015259
170318255033,1080,94,91.9899978638,8.01000022888
170318255034,1277,249,83.6800003052,16.3199996948
170318255035,1752,123,93.4400024414,6.55999994278
170318255041,560,1259,30.7900009155,69.2099990845
170318255042,476,1448,24.7399997711,75.2600021362
170318255051,1021,509,66.7300033569,33.2700004578
170318255052,761,283,72.8899993896,27.1100006104
170318255053,969,242,80.0199966431,19.9799995422
170318255054,1203,555,68.4300003052,31.5699996948
170318256001,685,876,43.8800010681,56.1199989319
170318256002,1036,895,53.6500015259,46.3499984741
170318256003,394,1028,27.7099990845,72.2900009155
170318256004,246,468,34.4500007629,65.5500030518
170318257001,489,282,63.4199981689,36.5800018311
170318257002,2049,88,95.8799972534,4.11999988556
170318257003,1254,35,97.2799987793,2.72000002861
170318258011,177,572,23.6299991608,76.3700027466
170318258012,1642,14,99.1500015259,0.850000023842
170318258013,741,455,61.9599990845,38.0400009155
170318258021,866,945,47.8199996948,52.1800003052
170318258022,171,1604,9.63000011444,90.3700027466
170318258023,1416,819,63.3600006104,36.6399993896
170318258031,1339,112,92.2799987793,7.71999979019
170318258032,329,481,40.6199989319,59.3800010681
170318258033,1070,10,99.0699996948,0.930000007153
170318258034,596,571,51.0699996948,48.9300003052
170318258035,679,593,53.3800010681,46.6199989319
170318259001,603,554,52.1199989319,47.8800010681
170318259002,309,792,28.0699996948,71.9300003052
170318259003,485,666,42.1399993896,57.8600006104
170318260001,885,18,98.0100021362,1.99000000954
170318260002,1285,7,99.4599990845,0.540000021458
170318260003,1039,70,93.6900024414,6.30999994278
170318261001,905,292,75.6100006104,24.3899993896
170318261002,336,502,40.0999984741,59.9000015259
170318261003,416,892,31.7999992371,68.1999969482
170318261004,851,23,97.3700027466,2.63000011444
