bgrp,IBuff_Pop,SBuff_Pop,Buff_Pop,Buff_Pct,Lane_PctSB,Lane_PctIB
170310403003,406,352,758,96.4400024414,55.3699989319,44.6300010681
170310404011,686,103,789,91.2099990845,29.7600002289,70.2399978638
170310404012,586,0,586,95.4400024414,16.5599994659,83.4400024414
170310404013,570,46,616,98.5599975586,27.3999996185,72.5999984741
170310404014,659,126,785,80.5999984741,31.1100006104,68.8899993896
170310404021,609,78,687,100.0,21.3199996948,78.6800003052
170310404022,534,43,577,91.8799972534,75.6999969482,24.2999992371
170310404023,1154,87,1241,100.0,29.2800006866,70.7200012207
170310404024,481,116,597,88.8399963379,49.7299995422,50.2700004578
170310404025,1097,146,1243,98.2600021362,0.0,100.0
170310406001,526,58,584,93.7399978638,52.7200012207,47.2799987793
170310406002,906,103,1009,100.0,8.02000045776,91.9800033569
170310406003,780,23,803,95.3700027466,9.76000022888,90.2399978638
170310407001,758,30,788,100.0,3.76999998093,96.2300033569
170310407002,678,27,705,86.4000015259,20.2099990845,79.7900009155
170310407003,709,0,709,82.1600036621,0.0,100.0
170310407004,642,7,649,100.0,8.42000007629,91.5800018311
170310408001,721,0,721,97.4300003052,10.9499998093,89.0500030518
170310408002,509,44,553,74.3300018311,15.1599998474,84.8399963379
170310409001,1045,176,1221,99.6699981689,38.4099998474,61.5900001526
170310409002,636,78,714,94.6900024414,62.6500015259,37.3499984741
170310501001,611,150,761,100.0,13.0500001907,86.9499969482
170310501002,1458,34,1492,100.0,28.2299995422,71.7699966431
170310502001,951,0,951,100.0,23.3400001526,76.6600036621
170310502002,2080,16,2096,98.0400009155,24.9099998474,75.0899963379
170310502003,1624,95,1719,95.6600036621,12.8699998856,87.1299972534
170310503001,890,0,890,100.0,4.42999982834,95.5699996948
170310503002,731,0,731,100.0,11.720000267,88.2799987793
170310503003,497,49,546,69.1999969482,14.0,86.0
170310505001,916,0,916,98.2799987793,3.78999996185,96.2099990845
170310505002,1114,82,1196,85.0,26.4099998474,73.5899963379
170310505003,360,228,588,74.5199966431,60.4799995422,39.5200004578
170310505004,625,237,862,92.0899963379,51.9700012207,48.0299987793
170310505005,735,0,735,95.6999969482,26.3199996948,73.6800003052
